CompoundID,Product,MW,logP,PSA,ROTN,HBD,HBA,RCount,ARCount,Fsp3,HeavyAcount,Potential Hit,
14,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(N2CCCC2c2cccc(C)c2)nc(N(C)[C@@H](C)c2ccccc2)n1,614.8,4.62,115.82,9,2,11,5,3,0.5,45,no,0
15,CNC(=O)[C@H](C)Nc1nc(NC2CCC(C)CC2)nc(N2CCCC2c2cccc(C)c2)n1,451.62,4.06,95.07,7,3,8,4,2,0.6,33,no,0
16,CCN(c1nc(Nc2cc(C)nn2-c2ccc(C)cc2)nc(N[C@@H](C)C(=O)NC)n1)c1ccccc1C,499.62,4.43,112.89,9,3,10,4,4,0.3,37,no,0
32,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(Nc2ccc(C)cc2F)nc(N(C)c2cccc(Cl)c2)n1,585.08,4.38,124.61,8,3,11,4,3,0.39,41,no,0
45,CNC(=O)[C@H](C)Nc1nc(Nc2cc[nH]n2)nc(N(C)Cc2cccc(Br)c2)n1,460.34,2.28,123.75,8,4,10,3,3,0.28,29,no,0
48,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(NCCc2cccc(Cl)c2Cl)nc(Nc2cc[nH]n2)n1,591.5,3.2,162.08,10,5,13,4,3,0.44,40,no,0
49,CNC(=O)[C@H](C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2cccc(C)c2)n1,421.51,2.53,123.75,7,4,10,4,3,0.38,31,no,0
53,CNC(=O)[C@H](C)Nc1nc(NCc2cc(F)cc(C(F)(F)F)c2)nc(Nc2cc[nH]n2)n1,453.4,2.65,132.54,8,5,10,3,3,0.28,32,no,0
54,CNC(=O)[C@H](C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccccc2OC)n1,437.51,2.23,132.98,8,4,11,4,3,0.38,32,no,0
55,CNC(=O)[C@H](C)Nc1nc(NCc2cccc(Cl)c2F)nc(Nc2cc[nH]n2)n1,419.85,2.29,132.54,8,5,10,3,3,0.24,29,no,0
62,CNC(=O)[C@H](C)Nc1nc(NCCc2cccc(Cl)c2)nc(Nc2cc[nH]n2)n1,415.89,2.19,132.54,9,5,10,3,3,0.28,29,no,0
66,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N2CCN(Cc3cccc(C)c3)CC2)n1,492.63,2.64,126.99,9,4,11,4,3,0.48,36,no,0
68,CCc1ccc(CN(C)c2nc(Nc3cc(C(C)C)n[nH]3)nc(N[C@@H](C)C(=O)NC)n2)cc1,451.58,3.21,123.75,10,4,10,3,3,0.43,33,no,0
74,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(NCc2cccc(OC(F)F)c2)nc(Nc2cc(C(C)C)n[nH]2)n1,616.67,3.57,171.31,12,5,14,4,3,0.5,44,no,0
78,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N2CCCC2c2cccc(OC)c2)n1,479.59,3.36,132.98,9,4,11,4,3,0.46,35,no,0
79,CNC(=O)[C@H](C)Nc1nc(NCc2ccc(C)c(Cl)c2)nc(Nc2cc(C(C)C)n[nH]2)n1,457.97,3.58,132.54,9,5,10,3,3,0.38,32,no,0
83,CNC(=O)[C@H](C)Nc1nc(NCCN2CC(C)OC(C)C2)nc(Nc2cc(C)n[nH]2)n1,432.53,0.71,145.01,9,5,12,3,2,0.63,31,no,0
87,CCCCC(CC)CNc1nc(Nc2cc(C)n[nH]2)nc(N[C@@H](C)C(=O)NC)n1,403.54,2.82,132.54,12,5,10,2,2,0.63,29,no,0
88,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(NCCOc2ccccc2)nc(Nc2cc(C)n[nH]2)n1,552.64,2.04,171.31,11,5,14,4,3,0.46,40,yes,1
92,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)Cc2cccc(Br)c2)n1,474.37,2.59,123.75,8,4,10,3,3,0.32,30,no,0
105,CNC(=O)[C@H](C)Nc1nc(NCc2ccccc2OC(F)F)nc(Nc2cc(C)n[nH]2)n1,447.45,2.41,141.77,10,5,11,3,3,0.32,32,no,0
110,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2cc(S(C)(=O)=O)ccc2F)n1,463.5,1.48,166.68,8,5,12,3,3,0.28,32,no,0
113,CNC(=O)[C@H](C)Nc1nc(NCCc2cccc(Cl)c2Cl)nc(Nc2cc(C)n[nH]2)n1,464.36,3.15,132.54,9,5,10,3,3,0.32,31,no,0
120,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCSc3ccccc32)n1,425.52,2.44,123.75,6,4,10,4,3,0.32,30,no,0
124,CNC(=O)[C@H](C)Nc1nc(NCC2CCCCC2)nc(Nc2cc(C)n[nH]2)n1,387.49,2.19,132.54,8,5,10,3,2,0.61,28,no,0
129,CNC(=O)[C@H](C)Nc1nc(NCc2cc(C)cc(F)c2)nc(Nc2cc(C)n[nH]2)n1,413.46,2.25,132.54,8,5,10,3,3,0.32,30,no,0
134,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)c2ccc(Br)cc2)n1,474.37,3.13,132.54,8,5,10,3,3,0.32,30,no,0
135,CNC(=O)[C@H](C)Nc1nc(NCCc2ccc(C)c(C)c2)nc(Nc2cc(C)n[nH]2)n1,423.53,2.46,132.54,9,5,10,3,3,0.38,31,no,0
139,CCOc1cccc(Nc2nc(Nc3cc(C)n[nH]3)nc(N[C@@H](C)C(=O)NC)n2)c1,411.47,2.34,141.77,9,5,11,3,3,0.32,30,no,0
141,C=CCCCNc1nc(Nc2cc(C)n[nH]2)nc(N[C@@H](C)C(=O)N2[C@@H](C(=O)NC)[C@@H](C)OC2(C)C)n1,500.61,1.92,162.08,11,5,13,3,2,0.57,36,no,0
147,CNC(=O)[C@H](C)Nc1nc(NCc2cccc(OC(F)(F)F)c2)nc(Nc2cc(C)n[nH]2)n1,465.44,2.7,141.77,9,5,11,3,3,0.32,33,no,0
152,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC(C(C)C)CC2)n1,401.52,2.07,123.75,7,4,10,3,2,0.63,29,yes,1
158,CNC(=O)[C@H](C)Nc1nc(NCCCc2ccccc2)nc(Nc2cc(C)n[nH]2)n1,409.5,2.24,132.54,10,5,10,3,3,0.35,30,no,0
163,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2ccc(F)c(F)c2)n1,457.49,2.81,123.75,7,4,10,4,3,0.38,33,no,0
165,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(NCc2cccs2)nc(Nc2cc(C)n[nH]2)n1,528.64,2.22,162.08,9,5,13,4,3,0.48,37,no,0
179,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CC(C)(OC)C2)n1,375.44,0.42,132.98,7,4,11,3,2,0.56,27,no,0
184,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2cccnc2)n1,422.5,1.93,136.64,7,4,11,4,3,0.4,31,no,0
194,CNC(=O)[C@H](C)Nc1nc(NCCc2ccc(C)cc2C)nc(Nc2cc(C)n[nH]2)n1,423.53,2.46,132.54,9,5,10,3,3,0.38,31,no,0
200,CNC(=O)[C@H](C)Nc1nc(NCc2ccc(Cl)cc2Cl)nc(Nc2cc(C)n[nH]2)n1,450.33,3.11,132.54,8,5,10,3,3,0.28,30,no,0
202,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC(C)(C)CC2)n1,387.49,1.82,123.75,6,4,10,3,2,0.61,28,no,0
206,CNC(=O)[C@H](C)Nc1nc(Nc2cccc(C)c2)nc(Nc2cc(C)n[nH]2)n1,381.44,2.25,132.54,7,5,10,3,3,0.28,28,no,0
209,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2ccccc2)n1,421.51,2.53,123.75,7,4,10,4,3,0.38,31,no,0
211,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(NC(C)c2ccccc2F)n1,413.46,2.51,132.54,8,5,10,3,3,0.32,30,no,0
212,CNC(=O)[C@H](C)Nc1nc(NCCS(=O)(=O)N2CCCC2)nc(Nc2cc(C)n[nH]2)n1,452.55,0.03,169.92,10,5,13,3,2,0.59,31,yes,1
218,CCCCCNc1nc(Nc2cc(C)n[nH]2)nc(N[C@@H](C)C(=O)NC)n1,361.45,1.8,132.54,10,5,10,2,2,0.56,26,no,0
219,CNC(=O)[C@H](C)Nc1nc(NCc2cc(F)cc(F)c2OC)nc(Nc2cc(C)n[nH]2)n1,447.45,2.09,141.77,9,5,11,3,3,0.32,32,no,0
220,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2ccccc2OC)n1,451.54,2.54,132.98,8,4,11,4,3,0.41,33,no,0
227,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2n[nH]cc2C)n1,512.58,1.32,190.76,8,6,15,4,3,0.5,37,no,0
235,CNC(=O)[C@H]1[C@@H](C)OC(C)(C)N1C(=O)[C@H](C)Nc1nc(NCc2ccc(F)cc2C)nc(Nc2cc(C)n[nH]2)n1,554.63,2.6,162.08,9,5,13,4,3,0.46,40,yes,1
238,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)c2ccc(OC)cc2)n1,425.5,2.37,141.77,9,5,11,3,3,0.35,31,yes,1
243,CNC(=O)[C@H](C)Nc1nc(NCc2cccc(Cl)c2F)nc(Nc2cc(C)n[nH]2)n1,433.88,2.6,132.54,8,5,10,3,3,0.28,30,no,0
244,CNC(=O)[C@H](C)Nc1nc(NCc2cccc(OC)c2)nc(Nc2cc(C)n[nH]2)n1,411.47,1.81,141.77,9,5,11,3,3,0.32,30,no,0
245,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(NC2CCc3ccccc32)n1,407.48,2.29,132.54,7,5,10,4,3,0.35,30,no,0
247,CNC(=O)[C@H](C)Nc1nc(NCc2ccc(F)cc2)nc(Nc2cc(C)n[nH]2)n1,399.43,1.94,132.54,8,5,10,3,3,0.28,29,no,0
251,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)C2CCCCC2)n1,401.52,2.57,132.54,8,5,10,3,2,0.63,29,yes,1
261,CCCCN(C)c1nc(Nc2cc(C)n[nH]2)nc(N[C@@H](C)C(=O)NC)n1,361.45,1.43,123.75,9,4,10,2,2,0.56,26,no,0
263,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)Cc2cccc(C)c2)n1,409.5,2.14,123.75,8,4,10,3,3,0.35,30,yes,1
267,CNC(=O)[C@H](C)Nc1nc(NCCc2ccc(F)cc2)nc(Nc2cc(C)n[nH]2)n1,413.46,1.99,132.54,9,5,10,3,3,0.32,30,no,0
271,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(NC2Cc3ccc(OC)cc3C2)n1,437.51,1.78,141.77,8,5,11,4,3,0.38,32,no,0
272,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)c2cccc(F)c2)n1,413.46,2.51,132.54,8,5,10,3,3,0.32,30,no,0
273,CNC(=O)[C@H](C)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC(C)(C)C2)n1,373.47,1.43,123.75,6,4,10,3,2,0.59,27,no,0
277,CNC(=O)[C@H](C)Nc1nc(NCc2ccc(F)c(C(F)(F)F)c2)nc(Nc2cc(C)n[nH]2)n1,467.43,2.96,132.54,8,5,10,3,3,0.32,33,no,0
281,CNC(=O)[C@H](C)Nc1nc(Nc2cc(COC)[nH]n2)nc(N2CCC[C@H](C)C2)n1,403.49,1.27,132.98,8,4,11,3,2,0.61,29,no,0
282,CNC(=O)[C@H](C)Nc1nc(Nc2cncc(C#N)c2)nc(Nc2cccc(F)c2F)n1,425.4,2.45,140.54,7,4,10,3,3,0.16,31,no,0
284,CNC(=O)[C@H](C)Nc1nc(NCc2cccc(Cl)c2F)nc(N[C@@H](C)C2CCCCC2)n1,463.99,4.2,103.86,9,4,8,3,2,0.55,32,no,0
285,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NC2CCC(C)CC2)nc(N2CCCC2c2ccc(F)cc2)n1,498.61,2.74,138.16,9,5,10,4,2,0.56,36,no,0
287,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2ccccc2OC(F)F)nc(Nc2cc[nH]n2)n1,476.45,0.95,184.86,12,7,13,3,3,0.26,34,no,0
288,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2cccc(C)c2)n1,464.53,1.39,166.84,9,6,12,4,3,0.36,34,no,0
291,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc[nH]n2)nc(N(C)Cc2ccc(Cl)cc2Cl)n1,493.36,1.68,166.84,10,6,12,3,3,0.26,33,no,0
292,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2cc(F)cc(C(F)(F)F)c2)nc(Nc2cc[nH]n2)n1,496.43,1.51,175.63,10,7,12,3,3,0.26,35,no,0
293,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccccc2OC)n1,480.53,1.09,176.07,10,6,13,4,3,0.36,35,yes,1
295,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2cccc(Cl)c2F)nc(Nc2cc[nH]n2)n1,462.88,1.14,175.63,10,7,12,3,3,0.22,32,no,0
300,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2cccc(OC)c2)n1,480.53,1.09,176.07,10,6,13,4,3,0.36,35,no,0
306,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCOc2c(C)cccc2C)nc(Nc2cc[nH]n2)n1,468.52,0.85,184.86,12,7,13,3,3,0.33,34,no,0
307,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCOc2ccccc2)nc(Nc2cc(C(C)C)n[nH]2)n1,482.55,1.35,184.86,13,7,13,3,3,0.36,35,no,0
309,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2ccccc2OC(F)F)nc(Nc2cc(C(C)C)n[nH]2)n1,518.53,2.08,184.86,13,7,13,3,3,0.36,37,no,0
313,CCCN(C)c1nc(Nc2cc(C(C)C)n[nH]2)nc(N[C@H](CC(N)=O)C(=O)NC)n1,418.51,0.71,166.84,11,6,12,2,2,0.56,30,no,0
324,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCCSC)nc(Nc2cc(C(C)C)n[nH]2)n1,450.57,1.03,175.63,13,7,12,2,2,0.56,31,no,0
326,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)c(F)c(C)c2)nc(Nc2cc(C(C)C)n[nH]2)n1,484.54,2.36,175.63,10,7,12,3,3,0.36,35,no,0
330,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCCc2ccccc2)nc(Nc2cc(C(C)C)n[nH]2)n1,480.58,1.91,175.63,13,7,12,3,3,0.39,35,no,0
332,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N(C)Cc2ccc(F)cc2)n1,484.54,1.64,166.84,11,6,12,3,3,0.36,35,no,0
334,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N2CCCC2c2cccnc2)n1,493.58,1.6,179.73,10,6,13,4,3,0.43,36,yes,1
335,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cccc(OC)c2)nc(Nc2cc(C(C)C)n[nH]2)n1,468.52,1.62,184.86,11,7,13,3,3,0.33,34,no,0
336,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2ccc(OC)c(C)c2)nc(Nc2cc(C(C)C)n[nH]2)n1,482.55,1.92,184.86,11,7,13,3,3,0.36,35,no,0
344,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N[C@H](C)c2ccc(C#N)cc2)n1,491.56,1.91,199.42,11,7,13,3,3,0.35,36,no,0
351,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(Nc2c(C)cccc2C)n1,466.55,2.22,175.63,10,7,12,3,3,0.36,34,no,0
352,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCC2CCCO2)nc(Nc2cc(C(C)C)n[nH]2)n1,446.52,0.45,184.86,11,7,13,3,2,0.58,32,no,0
356,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2sccc2C)nc(Nc2cc(C(C)C)n[nH]2)n1,472.58,1.85,175.63,11,7,12,3,3,0.4,33,no,0
365,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N[C@H](C)c2cccc3ccccc23)n1,516.61,3.19,175.63,11,7,12,4,4,0.31,38,no,0
366,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2C2CC2)n1,428.5,0.43,166.84,9,6,12,4,2,0.58,31,no,0
379,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CC3CC2CO3)n1,416.45,-0.97,176.07,8,6,13,4,2,0.53,30,no,0
383,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)Cc2cccc(Br)c2)n1,517.39,1.45,166.84,10,6,12,3,3,0.3,33,no,0
389,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2ccccc2OC(F)F)nc(Nc2cc(C)n[nH]2)n1,490.48,1.26,184.86,12,7,13,3,3,0.3,35,no,0
390,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2ccccc2N)n1,425.46,0.37,201.65,9,9,13,3,3,0.22,31,no,0
391,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCCn2ccnc2C)nc(Nc2cc(C)n[nH]2)n1,456.52,0.06,193.45,12,7,14,3,3,0.42,33,no,0
397,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2ccc(Cl)c(Cl)c2)nc(Nc2cc(C)n[nH]2)n1,493.36,1.97,175.63,10,7,12,3,3,0.26,33,yes,1
398,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCc2ccccc2OC)nc(Nc2cc(C)n[nH]2)n1,468.52,0.71,184.86,12,7,13,3,3,0.33,34,yes,1
399,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2cc(F)ccc2F)nc(Nc2cc(C)n[nH]2)n1,460.45,0.94,175.63,10,7,12,3,3,0.26,33,no,0
400,CCO[C@H]1CCN(c2nc(Nc3cc(C)n[nH]3)nc(N[C@H](CC(N)=O)C(=O)NC)n2)C1,432.49,-0.34,176.07,10,6,13,3,2,0.56,31,no,0
403,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(NC(C)c2ccc(F)c(F)c2)n1,474.48,1.5,175.63,10,7,12,3,3,0.3,34,no,0
406,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)c2ccccc2C(F)(F)F)n1,492.47,1.84,166.84,9,6,12,3,3,0.3,35,no,0
414,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)Cc2cccc(F)c2)n1,456.49,0.82,166.84,10,6,12,3,3,0.3,33,no,0
415,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCc2ccc(C)cc2)nc(Nc2cc(C)n[nH]2)n1,452.52,1.01,175.63,11,7,12,3,3,0.33,33,no,0
420,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)c2ccc(Br)cc2)n1,517.39,1.98,175.63,10,7,12,3,3,0.3,33,no,0
423,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(NC(C)CC(C)C)n1,418.51,0.9,175.63,11,7,12,2,2,0.56,30,no,0
424,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCc2ccc(C)c(C)c2)nc(Nc2cc(C)n[nH]2)n1,466.55,1.32,175.63,11,7,12,3,3,0.36,34,no,0
428,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(NC(C)c2ccc(F)cc2)n1,456.49,1.36,175.63,10,7,12,3,3,0.3,33,no,0
430,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2cccc(Cl)c2Cl)nc(Nc2cc(C)n[nH]2)n1,493.36,1.97,175.63,10,7,12,3,3,0.26,33,no,0
435,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2ccno2)n1,401.39,-0.22,201.66,9,7,14,3,3,0.27,29,no,0
445,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCN(c3c(C)cccc3C)CC2)n1,507.6,0.99,170.08,9,6,13,4,3,0.42,37,no,0
446,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2cccc(C)c2)n1,478.56,1.7,166.84,9,6,12,4,3,0.39,35,no,0
447,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)Cc2ccccc2Cl)n1,472.94,1.34,166.84,10,6,12,3,3,0.3,33,yes,1
453,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2cccc(OC(F)(F)F)c2)nc(Nc2cc(C)n[nH]2)n1,508.47,1.56,184.86,11,7,13,3,3,0.3,36,no,0
458,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC(C(C)C)CC2)n1,444.54,0.92,166.84,9,6,12,3,2,0.6,32,no,0
459,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2nn(C)c3ccccc23)nc(Nc2cc(C)n[nH]2)n1,478.52,0.55,193.45,10,7,14,4,4,0.29,35,no,0
462,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCCc2ccccc2)nc(Nc2cc(C)n[nH]2)n1,452.52,1.09,175.63,12,7,12,3,3,0.33,33,no,0
472,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2ccc(F)c(F)c2)n1,500.51,1.67,166.84,9,6,12,4,3,0.36,36,no,0
476,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2cccc(F)c2C#N)n1,453.44,0.8,199.42,9,7,13,3,3,0.21,33,no,0
477,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2cc(C)ncc2C)n1,439.48,0.8,188.52,9,7,13,3,3,0.32,32,no,0
484,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2cccnc2)n1,465.52,0.79,179.73,9,6,13,4,3,0.38,34,yes,1
485,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2ccc(C)cc2)nc(Nc2cc(C)n[nH]2)n1,438.5,0.97,175.63,10,7,12,3,3,0.3,32,no,0
488,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2ccc(Cl)cc2Cl)nc(Nc2cc(C)n[nH]2)n1,493.36,1.97,175.63,10,7,12,3,3,0.26,33,no,0
491,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCc2ccc(Cl)cc2Cl)nc(Nc2cc(C)n[nH]2)n1,507.39,2.01,175.63,11,7,12,3,3,0.3,34,yes,1
492,CC[C@@H](Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](CC(N)=O)C(=O)NC)n1)c1ccccc1,452.52,1.61,175.63,11,7,12,3,3,0.33,33,yes,1
493,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2c(F)cccc2Cl)nc(Nc2cc(C)n[nH]2)n1,476.9,1.45,175.63,10,7,12,3,3,0.26,33,no,0
494,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2ccc(OC)nc2)nc(Nc2cc(C)n[nH]2)n1,441.46,0.2,197.75,10,7,14,3,3,0.28,32,no,0
498,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC(C)(C)CC2)n1,430.52,0.68,166.84,8,6,12,3,2,0.58,31,no,0
499,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)[C@@H](C)c2ccccc2)n1,452.52,1.25,166.84,10,6,12,3,3,0.33,33,yes,1
502,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2c(OC)ccc(F)c2F)nc(Nc2cc(C)n[nH]2)n1,490.48,0.95,184.86,11,7,13,3,3,0.3,35,no,0
503,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCc2ccccc2)nc(Nc2cc(C)n[nH]2)n1,438.5,0.7,175.63,11,7,12,3,3,0.3,32,no,0
506,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(NC(C)c2ccccc2F)n1,456.49,1.36,175.63,10,7,12,3,3,0.3,33,no,0
507,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2cc(F)cc(C(F)(F)F)c2)nc(Nc2cc(C)n[nH]2)n1,510.46,1.82,175.63,10,7,12,3,3,0.3,36,no,0
510,CCCCCNc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](CC(N)=O)C(=O)NC)n1,404.48,0.65,175.63,12,7,12,2,2,0.53,29,no,0
514,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2ccccc2OC)n1,494.56,1.4,176.07,10,6,13,4,3,0.39,36,yes,1
518,CNC(=O)[C@@H](Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](CC(N)=O)C(=O)NC)n1)C(C)(C)C,461.53,-0.38,204.73,10,8,14,2,2,0.53,33,no,0
530,CNC(=O)[C@@H](CC(N)=O)Nc1nc(Nc2cccc(C(C)C)c2)nc(Nc2cc(C)n[nH]2)n1,452.52,1.92,175.63,10,7,12,3,3,0.33,33,no,0
533,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCCc2ccc(F)cc2F)nc(Nc2cc(C)n[nH]2)n1,474.48,0.98,175.63,11,7,12,3,3,0.3,34,no,0
539,CCC1CCCN1c1nc(Nc2cc(C)n[nH]2)nc(N[C@H](CC(N)=O)C(=O)NC)n1,416.49,0.43,166.84,9,6,12,3,2,0.56,30,no,0
540,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2ccc(F)cc2C)nc(Nc2cc(C)n[nH]2)n1,456.49,1.11,175.63,10,7,12,3,3,0.3,33,no,0
541,CNC(=O)[C@@H](CC(N)=O)Nc1nc(NCc2cccc(OC(F)F)c2)nc(Nc2cc(C)n[nH]2)n1,490.48,1.26,184.86,12,7,13,3,3,0.3,35,no,0
