CompoundID,Product,MW,logP,PSA,ROTN,HBD,HBA,RCount,ARCount,Fsp3,HeavyAcount,Potential Hit,
4754,CNC(=O)C[C@H](Cc1cccc(F)c1)Nc1nc(NCc2cccc(Cl)c2F)nc(Nc2cc(C)n[nH]2)n1,541.99,4.35,132.54,11,5,10,4,4,0.24,38,yes,1
4758,CNC(=O)C[C@H](Cc1cccc(F)c1)Nc1nc(NCC2CCCO2)nc(Nc2cc(C)n[nH]2)n1,483.55,2.54,141.77,11,5,11,4,3,0.43,35,no,0
4760,CNC(=O)C[C@H](Cc1cccc(F)c1)Nc1nc(NCc2cc(F)ccc2Cl)nc(Nc2cc(C)n[nH]2)n1,541.99,4.35,132.54,11,5,10,4,4,0.24,38,no,0
4762,CNC(=O)C[C@H](Cc1cccc(F)c1)Nc1nc(Nc2cc(C)n[nH]2)nc(NC2CCc3ccccc32)n1,515.6,4.04,132.54,10,5,10,5,4,0.3,38,no,0
4764,CNC(=O)C[C@H](Cc1cccc(F)c1)Nc1nc(Nc2cc(C)n[nH]2)nc(NC(C)c2ccc(Cl)cc2Cl)n1,572.48,5.43,132.54,11,5,10,4,4,0.27,39,no,0
4770,CNC(=O)C[C@H](Cc1cccc(F)c1)Nc1nc(NCc2cccc(C(F)(F)F)c2)nc(Nc2c(F)ccc(F)c2F)n1,607.53,5.96,103.86,11,4,8,4,4,0.21,43,no,0
4773,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCc2ccc(F)c(C(F)(F)F)c2)nc(Nc2ccc(C)cc2Cl)n1,551.98,5.67,103.86,8,4,8,4,3,0.36,38,no,0
4774,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCCOc2ccccc2)nc(Nc2cc[nH]n2)n1,437.51,2.16,141.77,10,5,11,4,3,0.38,32,no,0
4781,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCCc2cccc(Cl)c2)nc(Nc2cc[nH]n2)n1,455.95,2.97,132.54,9,5,10,4,3,0.38,32,no,0
4783,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](COC)c2ccccc2)n1,465.56,2.77,141.77,10,5,11,4,3,0.43,34,no,0
4787,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCC2CCCCC2)nc(Nc2cc(C)n[nH]2)n1,427.56,2.97,132.54,8,5,10,4,2,0.67,31,no,0
4790,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCc2ccc(C)c(F)c2)nc(Nc2cc(C)n[nH]2)n1,453.53,3.03,132.54,8,5,10,4,3,0.41,33,no,0
4792,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC3CCCCC32)n1,453.6,3.13,123.75,6,4,10,5,2,0.7,33,no,0
4798,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCN(c3ccc(F)cc3F)CC2)n1,512.57,2.58,126.99,7,4,11,5,3,0.46,37,no,0
4800,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCc2ccc(OC(C)(C)C)cc2)nc(Nc2cc(C)n[nH]2)n1,493.62,3.76,141.77,9,5,11,4,3,0.48,36,no,0
4801,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCc2ccsc2)nc(Nc2cc(C)n[nH]2)n1,427.54,2.65,132.54,8,5,10,4,3,0.42,30,yes,1
4802,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(Nc2cc(C)n[nH]2)nc(NC2CCc3ccccc32)n1,447.55,3.07,132.54,7,5,10,5,3,0.43,33,no,0
4803,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(Nc2cc(C)n[nH]2)nc(NC2CCC(C)CC2)n1,427.56,2.96,132.54,7,5,10,4,2,0.67,31,no,0
4804,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)c2ccccc2)n1,435.54,3.15,132.54,8,5,10,4,3,0.41,32,no,0
4805,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCCc2ccc(F)cc2)nc(Nc2cc(C)n[nH]2)n1,453.53,2.77,132.54,9,5,10,4,3,0.41,33,no,0
4806,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2cccc(F)c2F)n1,443.46,3,132.54,7,5,10,4,3,0.35,32,no,0
4811,CNC(=O)[C@@H]1CCC[C@H]1Nc1nc(NCc2cccc(Cl)c2Cl)nc(Nc2cncc(C#N)c2)n1,512.41,4.13,140.54,8,4,10,4,3,0.3,35,no,0
4813,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccccc2OC)n1,514.59,2.85,145.87,10,4,12,5,4,0.31,38,no,0
4815,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NC(C)C(C)C)nc(N2CCCC2c2ccccc2OC)n1,518.67,3.84,117.19,11,3,10,4,3,0.46,38,no,0
4818,CCCCC(CC)CNc1nc(Nc2cc[nH]n2)nc(N[C@H](Cc2cccnc2)C(=O)NC)n1,466.59,3.13,145.43,14,5,11,3,3,0.48,34,no,0
4819,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc[nH]n2)nc(N(C)Cc2cccc(Br)c2)n1,537.43,2.9,136.64,10,4,11,4,4,0.22,35,no,0
4824,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2cccc(C)c2)n1,498.6,3.15,136.64,9,4,11,5,4,0.31,37,no,0
4826,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc[nH]n2)nc(N(C)Cc2ccccc2Cl)n1,492.98,2.79,136.64,10,4,11,4,4,0.22,35,yes,1
4829,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccccc2OC)n1,514.59,2.85,145.87,10,4,12,5,4,0.31,38,yes,1
4840,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc[nH]n2)nc(N(C)c2ccc(C#N)cc2)n1,469.51,2.14,160.43,9,4,12,4,4,0.17,35,no,0
4842,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc[nH]n2)nc(N[C@H](C)c2cccc3ccccc23)n1,508.59,3.83,145.43,10,5,11,5,5,0.19,38,no,0
4843,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C(C)C)n[nH]2)nc(N2CCCC2c2cccc(C)c2)n1,540.68,4.28,136.64,10,4,11,5,4,0.38,40,no,0
4854,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCC2CCC2)nc(Nc2cc(C(C)C)n[nH]2)n1,464.58,2.84,145.43,11,5,11,4,3,0.48,34,no,0
4859,CCCCC(CC)CNc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](Cc2cccnc2)C(=O)NC)n1,480.62,3.44,145.43,14,5,11,3,3,0.5,35,no,0
4860,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCCOc2ccccc2)nc(Nc2cc(C)n[nH]2)n1,488.56,2.3,154.66,12,5,12,4,4,0.25,36,no,0
4864,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCc3cc(S(C)(=O)=O)ccc32)n1,548.63,1.91,170.78,9,4,13,5,4,0.28,39,no,0
4868,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2ccccc2Cl)n1,478.95,3.21,145.43,9,5,11,4,4,0.18,34,no,0
4876,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)c2ccc(Br)cc2)n1,551.45,3.75,145.43,10,5,11,4,4,0.25,36,no,0
4878,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC(SC)CC2)n1,482.62,2.14,136.64,9,4,11,4,3,0.45,34,no,0
4881,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCN(c3c(C)cccc3C)CC2)n1,541.66,2.75,139.88,9,4,12,5,4,0.36,40,no,0
4886,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2ccc(C)c(F)c2)nc(Nc2cc(C)n[nH]2)n1,490.55,2.87,145.43,10,5,11,4,4,0.25,36,no,0
4887,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2c(Cl)ccc(C)c2F)nc(Nc2cc(C)n[nH]2)n1,524.99,3.52,145.43,10,5,11,4,4,0.25,37,no,0
4888,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2ccc(F)c(F)c2)n1,534.58,3.43,136.64,9,4,11,5,4,0.31,39,yes,1
4895,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2cccs2)nc(Nc2cc(C)n[nH]2)n1,464.56,2.48,145.43,10,5,11,4,4,0.24,33,no,0
4898,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC3CCCCC32)n1,490.62,2.97,136.64,8,4,11,5,3,0.52,36,no,0
4901,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2cccnc2)n1,499.58,2.55,149.53,9,4,12,5,4,0.32,37,no,0
4904,CC[C@@H](Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](Cc2cccnc2)C(=O)NC)n1)c1ccccc1,486.58,3.37,145.43,11,5,11,4,4,0.28,36,no,0
4909,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)Cc2ccc(Cl)cc2Cl)n1,541.45,3.75,136.64,10,4,11,4,4,0.25,37,no,0
